wikidata_id,musicbrainz_id,name,parent_wikidata_id,parent_name,level,children_direct,descendants_total,display_rule,epoch_year,origin,group,bpm_min,bpm_max,parent_choice,wikidata_parents_raw,wikipedia_links,featured,family_shape,family_hue
Q7309098,c5c255f9-a93d-4940-9c17-223ac887958e,regional Mexican,Q18345375,Latin music,1,16,21,dial,,,MEXICO & CENTRAL AMERICA > MEXICO,,,single,music of Mexico,3,,,
Q464129,55fe39b6-1675-42cd-90ac-feeb7362a986,mariachi,Q7309098,regional Mexican,2,0,0,ring,1800,Mexico,MARIACHI & RANCHERA,,,single,regional Mexican,42,,,
Q1780056,3e226375-1286-40e3-92b3-d257e3a1babb,norteño,Q7309098,regional Mexican,2,1,2,ring,1900,Mexico,BANDA & NORTEÑO,,,single,popular music | regional Mexican,9,,,
Q101440473,edd7dcee-0bb8-4d0a-b292-b297f7971a93,sierreña,Q1780056,norteño,3,1,1,ring,,Mexico,,,,single,norteño,2,,,
Q108665706,b0cd7203-1781-4d14-b8ff-67666bf75f14,corridos tumbados,Q101440473,sierreña,4,0,0,ring,,Mexico · United States,,,,single,sierreña,4,,,
Q727634,ca20f188-68d2-4af5-966e-8e2e0f848758,ranchera,Q7309098,regional Mexican,2,0,0,ring,1930,Mexico,MARIACHI & RANCHERA,,,single,regional Mexican,19,,,
Q7560612,83dc537c-0ca2-4051-9da1-ab81c81842bc,son calentano,Q7309098,regional Mexican,2,0,0,ring,1930,Mexico,SON & HUAPANGO,,,auto,son mexicano,3,,,
Q431415,1e6f2b7a-bab4-4194-bd42-d1836ce95650,tejano music,Q7309098,regional Mexican,2,0,0,ring,1945,United States,BANDA & NORTEÑO,,,single,music of Texas | regional Mexican,14,,,
Q5612172,b50bd8c6-c736-4b98-b68c-093c2d2e9352,grupera,Q7309098,regional Mexican,2,0,0,ring,1970,Mexico · United States,BANDA & NORTEÑO,,,single,regional Mexican,7,,,
Q2812726,f04fc239-2da9-4bf2-82d6-f54137bd80bd,banda music,Q7309098,regional Mexican,2,1,1,ring,,Mexico,BANDA & NORTEÑO,,,single,regional Mexican,9,,,
Q10932272,dc8f56da-a098-4f70-ab78-2f296b34cc57,technobanda,Q2812726,banda music,3,0,0,ring,,Mexico,,,,single,banda music,2,,,
Q5747877,d27e0b43-6292-441d-85f4-c4ab3acfda0e,canto cardenche,Q7309098,regional Mexican,2,0,0,ring,,Mexico,MARIACHI & RANCHERA,,,auto,Mexican folk music | a cappella,2,,,
Q869210,d60ef35c-e367-4272-9b25-e3f2ecebb2aa,corrido,Q7309098,regional Mexican,2,1,2,ring,,Mexico,BANDA & NORTEÑO,,,auto,Mexican folk music | ballad,15,,,
Q221934,54008cd9-7725-482b-a2ed-1d31a0d54517,narcocorrido,Q869210,corrido,3,1,1,ring,,Mexico · United States,,,,auto,banda music | corrido | norteño,13,,,
Q109406736,e628eb45-1490-4800-ae13-9ab66aaca4cb,movimiento alterado,Q221934,narcocorrido,4,0,0,ring,,,,,,single,narcocorrido,0,,,
Q907799,5348f256-ada2-4177-b16d-b0e07e96786f,Duranguense,Q7309098,regional Mexican,2,0,0,ring,,Mexico,BANDA & NORTEÑO,,,single,regional Mexican,5,,,
Q3089524,d043bf3b-dfd6-4112-bd38-267f1b67cd11,huapango,Q7309098,regional Mexican,2,0,0,ring,,Mexico,SON & HUAPANGO,,,single,regional Mexican,9,,,
Q616425,681cc918-0e9a-4ae0-8060-375fc3103edc,pirekua,Q7309098,regional Mexican,2,0,0,ring,,Mexico,MARIACHI & RANCHERA,,,auto,Mesoamerican music | Mexican folk music,15,,,
Q7560584,d1d0cce8-c920-414e-ba07-cb578eee0345,son huasteco,Q7309098,regional Mexican,2,0,0,ring,,Mexico,SON & HUAPANGO,,,auto,son mexicano,6,,,
Q6132086,95d9765c-ee62-45ee-90f6-9a8acc491789,son istmeño,Q7309098,regional Mexican,2,0,0,ring,,Mexico,SON & HUAPANGO,,,auto,son mexicano,3,,,
Q1797650,3388a17a-34ec-46a5-a5fb-24dbaadaee4e,son jarocho,Q7309098,regional Mexican,2,0,0,ring,,Mexico,SON & HUAPANGO,,,auto,son mexicano,7,,,
